eV,cm-1,um,no_perp,ko_perp,ne_par,ke_par,src
10,80650,0.124,1.67,1.22,1.73,1.18,1
9.75,78640,0.1272,1.88,1.28,1.97,1.22,1
9.5,76620,0.1305,2.04,1.17,2.14,1.12,1
9.25,74610,0.134,2.19,1.09,2.32,1.03,1
9,72590,0.1378,2.32,0.75,2.42,0.72,1
8.75,70570,0.1417,2.12,0.45,2.17,0.34,1
8.5,68560,0.1459,1.82,0.36,1.89,0.29,1
8.25,66540,0.1503,1.58,0.46,1.63,0.4,1
8,64520,0.155,1.43,0.59,1.48,0.57,1
7.5,60490,0.1653,1.38,0.98,1.48,0.94,1
7,56460,0.1771,1.54,1.3,1.75,1.24,1
6.5,52430,0.1907,1.82,1.48,2.07,1.26,1
6,48390,0.2066,2.16,1.6,2.3,1.22,1
5.75,46380,0.2156,2.36,1.67,2.46,1.22,1
5.5,44360,0.2254,2.68,1.75,2.76,1.16,1
5.25,42340,0.2362,3.22,1.6,2.98,1,1
5,40330,0.248,3.62,1.27,3.1,0.64,1
4.75,38310,0.261,3.52,0.43,2.99,0.25,1
4.5,36290,0.2755,3.19,0.11,2.79,0.06,1
4.25,34280,0.2917,2.91,0,2.59,0.0102,1
4.2,33880,0.2952,,,,5.87E-03,3
4.15,33470,0.2988,,,,3.09E-03,3
4.1,33070,0.3024,,,,0.00171,3
4.05,32670,0.3061,,,,0.000901,3
4,32260,0.31,2.76,,2.49,0.000419,3
3.95,31860,0.3139,,,,0.000212,3
3.9,31460,0.3179,,,,7.84E-05,3
3.85,31050,0.322,,,,3.33E-05,3
3.8,30650,0.3263,,,,1.69E-05,3
3.75,30250,0.3306,,,,8.16E-06,3
3.7,29840,0.3351,,,,5.07E-06,3
3.0642,24714,0.40463,2.4317,,2.326,,6
2.952,23810,0.42,2.4089,,2.3025,,5
2.8447,22944,0.43584,2.3928,,2.2932,,6
2.755,22220,0.45,2.378,,2.2772,,5
2.6503,21376,0.46782,2.3634,,2.2683,,6
2.5831,20834,0.47999,2.3541,,2.2605,,6
