Wavelength	n_o	n_e
11	0.6	0.81
12.5	0.2	0.46
12.82	0.21	0.44
13.16	0.22	0.45
13.51	0.23	0.46
13.89	0.26	0.53
14.29	0.54	0.56
14.71	0.9	0.75
15.15	0.99	1.05
15.63	0.95	1.44
16.13	0.9	2.52
16.67	1.1	4.02
17.24	1.83	4.47
17.86	4.77	4.17
18.52	4.51	3.67
19.23	4	3.2
20	3.27	2.67
20.83	2.52	2.28
21.74	1.78	2.06
22.73	1.03	1.82
23.81	1.3	1.27
25	1.01	0.83
26.32	1.33	0.48
27.78	2.61	0.32
29.41	1.34	0.37
31.25	3.39	0.7
32.26	4.09	1.16
33.33	2.8	1.2
35.71	0.92	0.8
37.04	2.19	0.94
38.46	5.71	3.04
40	6.79	6.58
41.67	5.76	7.48
43.48	5.82	8.55
45.45	4.94	8.32
50	2.54	6.78
55.56	0.98	7.86
58.82	2.04	8.03
62.5	5.43	6.93
66.67	7.96	6.33
71.43	10.1	6.17
76.92	10.6	6.01
83.33	9.83	5.84
100	8.57	5.66
125	7.87	5.52
166.7	7.34	5.38
200	6.9	5.165
250	6.85	5.125
333.3	6.7	5.1
500	6.64	5.07
1000	6.61	5.06
